Srno,RecipeName,Ingredients,PrepTimeInMins,CookTimeInMins,TotalTimeInMins,Servings,Cuisine,Course,Diet,TranslatedInstructions,URL
1431,Carrot Matar Paratha Recipe,"3 cups Whole Wheat Flour,Water - for kneading,1 teaspoon Salt,3 Carrots (Gajjar) - grated,1 cup Green peas (Matar) - steamed,1 Onion - medium,2 Green Chillies - chopped,Coriander (Dhania) Leaves - a small bunch finely chopped,1 tablespoon Ajwain (Carom seeds),1/4 tablespoon Coriander Powder (Dhania),1 tablespoon Red Chilli powder,1 tablespoon Cumin powder (Jeera),1/2 tablespoon Chaat Masala Powder,Salt - to taste,Ghee - for cooking the parathas",20,30,50,4,North Indian Recipes,North Indian Breakfast,Vegetarian,"To begin makingÿCarrot Matar Paratha Recipe, in a bowl mix together wheat flour. salt and oil.ÿAdd water, little at a time and prepare a soft dough just as we make dough for rotis.Grease your hands with oil and knead it well.ÿCover it and let it rest for some time .Now to prepare stuffing, we first mash steamed peas in a large bowl. Add the grated carrot, chopped onion, chopped green chillies and fresh chopped coriander and mix well.ÿNow add all dry spices in mixture - carom seeds, salt, red chilli powder, coriander powder, cumin powder, chaat masala and mix everything well.Now make even size ball out of paratha dough and roll out the ball in a small circle dusting wheat flour.Add some stuffing in the centre and gather all the corners and seal it well and press it lightly.Dust some wheat flour and roll out the sealed dough into a circle as we do for chapati dough. Don't apply too much pressure while rolling.ÿPlace a tawa on medium to high flame, and place the rolled out paratha on it. Let it cook a little bit on one side,flip it over to the other side and spread some ghee over the paratha which is half cooked.ÿFlip it again, when the second side is half cooked ,spread some ghee. Flip a few more times to get paratha browned and cooked well. Take of the tawa and cook the rest of the parathas in a similar wayÿServe Carrot Matar Paratha along withÿLauki RaitaÿandÿAam Ka Chunda Recipeÿfor a sumptuous breakfast.",http://www.archanaskitchen.com/carrot-matar-paratha-recipe
1432,Eggplant Potato Alkaline Broth Recipe,"6 Brinjal (Baingan / Eggplant) - cubed,1 Potato (Aloo) - cubed,15 Shallots - finely chopped,1 Tomato - finely chopped,1 teaspoon Sambar Powder,1 teaspoon Red Chilli powder,1/4 teaspoon Turmeric powder (Haldi),1/2 teaspoon Salt,2 1/2 cup Water,Tamarind - lemon sized,2 tablespoon Sunflower Oil,1/8 teaspoon Asafoetida (hing),Curry leaves - handful,3 Dry Red Chilli,1/4 teaspoon Methi Seeds (Fenugreek Seeds),1 teaspoon Mustard seeds,1 teaspoon White Urad Dal (Split)",30,40,70,4,Chettinad,Lunch,Vegetarian,"To begin the preparation of Kathirikai Urulaikizhanghu Kuzhambhu, in a medium sized pan, heat oil over medium heat. Once the oil is hot, add mustard seeds.Once the mustard seeds splutter, Add the remaining ingredients mentioned under tempering to the oilFry until the urad dal turns slightly brownishAdd chopped onions and cook until they are translucentAdd chopped tomatoes and cook until they become tenderNow, add cubed Brinjals and potato to the mixture in the panAdd sambar powder, chili powder and salt to the mixture. Stir them well so that the vegetables are evenly coated with the spice blend.Cook with the lid covered until brinjals and potato become tender.Heat a « cup of water and add tamarind to the hot water. Extract tamarind juice and set asideAdd the extracted tamarind juice to the blend in the pan. Add 2 cups of water to the gravyCook the curry over low heat until Brinjals and Potatoes are cooked well.Simmer the curry till the oil separates from the gravy.Serve the Kathirikai Urulaikizhanghu Kuzhambhu with hot rice and fried pappad
",https://www.archanaskitchen.com/kathirikai-urulaikizhangu-kara-kuzhambhu-recipe
1433,Steamed Sweet Corn Recipe Flavored with Chaat Masala Recipe,"1 Sweet corn - whole on the cob,Black Salt (Kala Namak) - to taste,Chaat Masala Powder - to taste,1 Lemon juice,Salt - to taste",0,20,20,2,Indian,Snack,Vegetarian,"To begin making theÿSteamed Sweet Corn Recipe Flavored with Chaat Masala, we will first steam the corn in a steamer.Make sure you have peeled the excess fibers from the corn and the shell as well. Cut the corn into half. Depending on the size of the corn you can cut it into 3 portions or 2.Place the corn in the steamer and steam for about 5 minutes until the sweet corn kernels have softened. Once the corn kernels are cooked and softened remove from the steamer and place it in a serving platter.Combine the salt, kala namak and chaat masala in a bowl. Rub the chat masala mixture generously over the corn and squeeze the lemon juice over.ÿServe theÿSteamed Sweet Corn Recipe Flavored with Chaat Masala Recipe as a Tea Time snack Recipe with a hot cup ofÿMasala Chai. You can also serve it as part of a meal made up ofÿIsraeli Couscous Minestrone Soup RecipeÿandÿHerbed Dinner Rolls Recipe..
",https://www.archanaskitchen.com/steamed-sweet-corn-recipe-flavored-with-chaat-masala
1434, Mustard Egg Curry Recipe (Recipe In Hindi),"4 ???? - ?????? ??? ??? ?? ??? ??,1-1/2 ??? ????? ??? - 1 ???? ????? ???ÿ??? ??,1 ???? ????? ???ÿ???? ?????,4 ??? ?????,1/4 ?? ?????? - ??? ???,1 ???? ????? ????? ?????,200 ??????? ?????? ?? ???,1 ????? - ???? ???,1 ??? ????? ???,??? - ????? ??????,1/4 ???? ????? ?????,3 ??? ?????",15,60,75,4,Indian,Lunch,Eggetarian,"To make mustard egg curry, first grind the mustard seeds in a mixer with green chillies, coconut, turmeric powder and coconut milk. Now heat oil in a pan. Add mustard seeds and let it cook for 10 seconds. Then add curry leaves and onions. Cook the onion until it becomes soft and then add ground masala, five fern masala, 1/4 cup water and mix it well. Allow it to boil and after that add the remaining coconut milk, salt, sugar and mix it well. After boiling, add boiled eggs and cook for 5 to 7 minutes and serve again. Serve the mustard egg curry hot with rice or laccha paratha.",http://www.archanaskitchen.com/mustard-egg-curry-recipe-recipe-in-hindi
1435,Jalapeno Potato Cheese Balls Recipe With Four Pepper Cheese Dip,"2 cups Potatoes (Aloo) - mashed & refrigerated,6 Britannia Cheese Cubes - cut into small pieces,4 cloves Garlic - finely chopped,2 Pickled Jalapenos - finely chopped,3 sprig Parsley leaves - finely chopped,2 Whole Eggs - whisked,1 cup Whole Wheat Bread crumbs,1 teaspoon Mixed Herbs (Dried),Salt - to taste,Sunflower Oil - as required,3 tablespoons Britannia Cheese Spread - Four Pepper Tango,3 tablespoons Hung Curd (Greek Yogurt),2 sprig Parsley leaves - finely chopped,Salt - to taste",60,10,70,4,Continental,Appetizer,Vegetarian,"To begin making Jalapeno Potato Cheese Balls Recipe combine the refrigerated mashed potatoes, jalapenos, parsley and salt to taste .ÿShape the mix into ping pong size balls. Flatten the balls and add the chopped britannia cheese cubes in the center and then fold to make a ball again.Refrigerate theÿJalapeno Potato Cheese Balls for 30 minutes.Mix the herbs with the bread crumbs in a plate and keep aside.After 30 minutes remove the potato cheese balls from the fridge. Dip the chilledÿPotato Cheese Balls into whisked egg and roll over the herbed bread crumbs. Make all the balls and keep aside.Now heat a kuzhi paniyaram pan with little oil in each cavity. Place the Jalapeno Potato Cheese Balls in the pan's cavities; drizzle the Jalapeno Potato Cheese Balls with a little oil and pan fry them until golden brown on both sides.Once done remove theÿJalapeno Potato Cheese Balls onto an oil absorbent paper and serve hot.ÿFor the Four Pepper Cheese DipCombine Four pepper tango cheese spread, hung curd, salt and parsley in a bowl. Whisk it up well to combine all the ingredients together.Transfer into a dip bowl and serve.ServeÿJalapeno Potato Cheese Balls as a party appetizer withÿFour Pepper Cheese Dipÿÿand a party meal ofÿClassic Caesar Saladÿ,ÿPumpkin Stew With ChickpeasÿandÿPistachio & Cranberry Broken Wheat Pilaf.",https://www.archanaskitchen.com/jalapeno-potato-cheese-balls-recipe-with-four-pepper-cheese-dip
1436,Banana-Almond Butter Bread Recipe,"1 Ripe Bananas - (over ripe),1 Whole Egg,1/4 cup Sugar,2-1/2 tablespoons Almond butter,5 tablespoons Vivatta Maida,3 tablespoons Almond Meal (Badam Powder),1/2 teaspoon Baking powder,1/4 teaspoon Baking soda,1/4 teaspoon Cinnamon Powder (Dalchini),1 pinch Salt,1/4 teaspoon Vanilla Extract - or almond extract,2 tablespoons Slivered Almonds (Badam),2 tablespoons Chocolate ganache - or melted chocolate",15,20,35,2,Continental,Snack,Eggetarian,"To begin making Banana-Almond Butter Bread Recipe, preheat oven to 170 deg C.In a bowl, mash ripe banana with a fork and keep it aside for later use.Sieve together the flour, almond flour, baking soda, baking powder, cinnamon powder and salt. Keep it aside.In stand mixer, add sugar and egg and beat in medium speed till the sugar is dissolved. Add almond butter and mashed banana and beat again, mixture will still be lumpy due to mashed banana.Gradually add flour mixture in two batches and stir until just combined. Don?t over stir it.Grease the loaf pan or muffin tray and divide the mixture in prepared muffin tray or loaf pan. Drizzle melted chocolate and give a swirl, and also sprinkle almond flakes on top.Place the tray in preheated. oven. Bake for 17-18 minutes, until a toothpick inserted comes out clean and the tops turn golden.Cool in the pan for 10 minutes then transfer it to a cooling rack to cool completely.Moist and flavorful banana almond bread is ready to be sliced. Serve Banana-Almond Butter Bread Recipe along with a cup of Coffee Recipe With Instant Coffee Powder and Elo Jhelo Nimki Recipe during evening.",https://www.archanaskitchen.com/banana-almond-butter-bread-recipe
1437,Masala Akki Roti Recipe - Spicy Rice Flour Flatbread,"2 cups Rice flour,1/4 cup Fresh coconut - grated,1 Carrot (Gajjar) - grated,1 Green Bell Pepper (Capsicum) - finely chopped,1/4 cup Dill leaves - finely chopped,1/4 cup Cabbage (Patta Gobi/ Muttaikose) - finely chopped,1 Onion - finely chopped,1 inch Ginger - finely chopped,2 Green Chillies - finely chopped,1/2 teaspoon Cumin seeds (Jeera),1/4 teaspoon Asafoetida (hing),Salt - to taste,Sunflower Oil - to cook",10,45,55,2,South Indian Recipes,Lunch,Vegetarian,"To begin making the Masala Akki Roti Recipe, add rice flour, carrots,cabbage,capsicum,onion, coconut, cumin seeds, green chillies, ginger, asafoetida and salt to taste into a large mixing bowl.Mix all the ingredients well and then knead the dough adding little warm water at a time. The dough should be soft. We will require around 1 cup of water to knead the dough.Once the dough comes to shape cover and allow Masala Akki Roti dough to rest for 10-15 mins.After 15 minutes grease your palm andÿ make large lemon size portions of the akki roti dough and keep aside.Pre heat a non stick tawa or roti pan.Now wet a muslin cloth with water or grease a plantain leaf. Grease your palm and place a portion of the dough at the center of the cloth . Using your fingers pat the dough to make circular discs of medium thickness.ÿÿMake three small holes in the akki roti for even cooking of the akki roti.Preheat a skillet over medium heat and grease the skillet.ÿCarefully invert the akki roti onto the preheated pan and peel out the cloth or the leaf.Cook the Masala Akki Roti on medium heat for a few seconds. Flip the roti and drizzle a teaspoon of oil around the roti and cook it on both sides untilÿbrown spots appear.Once done, removeÿ Masala Akki Roti from heat and serve warm.Serve theÿMasala Akki Rotiÿalong withÿCoconut Chutneyÿand Ghee for a breakfast or an evening tea time snack along with a hot cup ofÿFilter CoffeeÿorÿMasala Chai.",http://www.archanaskitchen.com/masala-akki-roti-recipe-spicy-rice-flour-flatbread-recipe
1439,Eggless Wholewheat And Custard Powder Coconut Cookies Recipe,"1-1/2 cups Whole Wheat Flour,3 tablespoon Custard powder,1/3 cup Sunflower Oil,3 tablespoon Dessicated Coconut,1/2 tablespoon Vanilla Extract,1/2 cup Brown Sugar (Demerara Sugar) - powdered,Salt - A pinch,1/4 teaspoon Baking soda,3/4 teaspoon Baking powder,1 tablespoon Milk",20,40,60,4,Continental,Snack,Vegetarian,"To begin with Eggless Whole Wheat And Custard Powder Coconut Cookies, sieve the dry ingredients which include whole wheat flour, custard powder, salt, baking soda and baking powder. To this add desiccated coconut and mix well.Add the powdered brown sugar, oil and vanilla essence and bring it to a smooth dough. Don?t knead the mixture.Add a tablespoon of milk, and bind it properly. Cover the dough and let it rest for about 5 minutes.Make small roundels of the dough and flatten it with a fork, place them on the lined baking tray. Use the rest of the dough to make similar cookies.Bake for 12-15 mins ÿor when they start to crinkle and done from the edges in an oven.They will remain slightly soft when taken out and harden within 10 mins on a cooling rack. Store in an airtight container once completely cooled and enjoy it during your tea time breaks.Serve Eggless Wholewheat And Custard Powder Coconut Cookies withÿMasala ChaiÿandÿGrilled Spicy Potato sandwichesÿfor your tea parties.",https://www.archanaskitchen.com/eggless-wholewheat-and-custard-powder-coconut-cookies-recipe
1440,Oats And Date Cookie Recipe,"1 cup Instant Oats (Oatmeal) - (instant variety),1/2 cup Whole Wheat Flour,1/2 cup Dates - chopped,1/2 cup Brown Sugar (Demerara Sugar),1/2 cup Sunflower Oil - or Ghee,1 teaspoon Baking powder,1/2 teaspoon Baking soda,2 teaspoons Vanilla Extract",15,30,45,5,Continental,Snack,Vegetarian,"To begin making the Oats And Date Cookie recipe, preheat oven to 180ø C. Grind instant oats coarsely in a blender and add it to mixing bowl.Add wheat flour, baking powder and baking soda to oats in the bowl and mix well.In separate bowl, mix together oil, sugar, chopped dates and vanilla essence until the sugar dissolves.Now add the flour into wet ingredients and mix to get crumbs like consistency.Add milk to it and mix well in hand to get soft and sticky dough.Make small balls in dough and press gently to make small circles. Make impressions using a fork and repeat with remaining dough.Arrange them in lined baking tray and bake for 20 to 25 minutes at 180ø C in preheated oven.Once baked, let it completely cool and store in airtight container.ÿServe Oats And Date Cookie along with a hot cup ofÿMasala ChaiÿandÿCheese Cucumber sandwichÿfor your tea time break.",http://www.archanaskitchen.com/oats-and-date-cookie-recipe
1443, Kashmiri Phool Rogan Josh (Recipe In Hindi),"1 ?? ???? - ??? ??,1-1/2 ?? ??? ?? ????? - ??? ??????,1/2 ???? ????? ????,1/2 ???? ????? ??????,1/2 ???? ????? ??? ??????,1/2 ???? ????? ?????,1/2 ???? ????? ???? ???? ?????,2 ???? ????? ??????? ??? ????? ?????,2 ??? ??? ????,??? - ????? ??????,1/2 ?? ???? ?? ???,3 ?????,3 ??????,3 ??? ??????,1 ??? ??? ????,12 ???? ???? ?????,1 ???? ????? ????,1/2 ???? ????? ????,1/2 ???? ????? ???? ?????,1/2 ???? ????? ??? ????? ?????,??? - ????? ??????,??? ??? - ??? ??? ????? ???",20,60,80,5,Kashmiri,Dinner,Vegetarian,"To make the Kashmiri flower rogan josh, first wash and chop the cabbage. Keep it aside. Now take a mixer, add the ingredients given for 'marinate' and grind it. Now put cauliflower and ground masala in a bowl. Mix and keep aside for 1 hour. Now heat the oil in the pan. When the oil is hot, add cinnamon, cardamom, long and fennel. Cook for 10 seconds. After 10 seconds, add black pepper and cook for 30 seconds. After 30 seconds, reduce the flame and add marinated cabbage. Mix it all. After mixing, add salt, asafoetida and ginger powder to it. Mix it. After 10 seconds add red chili powder to it and mix. If you are adding rattan jat, add this time. Now heat oil in a small pan. Put the rattan jot in it, turn off the gas and keep it aside for 1 hour. Add this rattan jot oil to the vegetable. Now beat the curd well in a bowl. Add this curd to the cabbage and mix it well. Reduce the heat and cook the vegetables till the cabbage is cooked. After cooking, turn off the gas and serve hot. Serve Kashmiri Phool Rogan Josh with Burani Raita, Lacha Paratha and Jeera Pulao for dinner.",https://www.archanaskitchen.com/kashmiri-phool-rogan-josh-recipe-in-hindi
1444,Kongunadu Special Pattani Biryani Recipe (Green Peas Biryani From Kongunadu),"2 cups Basmati rice,2 tablespoons Sunflower Oil,2 Bay leaves (tej patta),3-4 Cardamom (Elaichi) Pods/Seeds,1 inch Cinnamon Stick (Dalchini),3 Cloves (Laung),1 teaspoon Fennel seeds (Saunf),1 cup Pearl onions (Sambar Onions) - peeled and kept whole,3 cloves Garlic - grated,1 Ginger - grated,4 Green Chillies - slit lengthwise,2 Tomatoes - finely chopped,1/2 cup Mint Leaves (Pudina) - finely chopped,1/2 teaspoon Turmeric powder (Haldi),1-1/2 cups Green peas (Matar),Salt - to taste,Coriander (Dhania) Leaves - small bunch finely chopped",20,85,105,4,Kongunadu,One Pot Dish,Vegetarian,"To begin making the Kongunadu Special Pattani Biryani Recipe, wash rice and soak in water for 30 minutes. Drain and set it aside.Heat a tablespoon of oil in a heavy bottomed pan over medium heat. Add chopped mint leaves, bay leaves, cardamom, cinnamon, cloves and fennel seeds. Saute for a minute.Add Shallots (sambar onions) and fry for about 5 minutes till golden. Add the ginger, garlic and green chillies. Cook for another 2 minutes, stirring continuously until you can smell a good aroma.Add in the tomatoes, turmeric and saute until the tomato softens. Finally add in the green peas, the washed rice and 4 cups of water. Add salt to taste. Bring theÿPattani Biryani to a brisk boil. Once the rice comes to a brisk boil, turn the heat to low, cover the pan and cook theÿPattani Biryani until all the water is absorbedÿand rice is tender and fluffy.Once done, turn off the heat and allow theÿKongunadu Special Pattani Biryani to rest in the pan for 5 minutes and then open to stirÿin lime juice and coriander leaves.ÿServe theÿKongunadu Special Pattani Biryani along with aÿThakkali Vengaya Pachadiÿfor lunch or a weeknight dinner.",http://www.archanaskitchen.com/kongunadu-special-pattani-biryani-recipe-green-peas-biryani-from-kongunadu
1445,Jowar Garlic Naan Recipe- Healthy Sorghum Naan,"1 cup Jowar Flour (Sorghum),1 cup Whole Wheat Flour,1/4 cup Methi Leaves (Fenugreek Leaves) - finely chopped,1 teaspoon Active dry yeast,1/4 cup Curd (Dahi / Yogurt),1 teaspoon Salt,1 teaspoon Sugar,10 cloves Garlic - finely chopped,Ghee - for cooking",140,15,155,4,North Indian Recipes,Main Course,Diabetic Friendly,"To begin making the Jowar Garlic Naan Recipe, Let us make the dough.To make the dough, in a mixing bowl, combine the jowar flour, wheat flour, methi leaves, yeast, salt and sugar.Start ÿby making the dough with all the yoghurt and then add a little water at a time and only use required amount of water to make a firm dough. Add a teaspoon of oil to coat the dough and knead for a few more minutes until smooth.Set the dough aside to rest covered for 2 hours. After 2 hours, knead once again and divide the dough into equal portions.Preheat the iron griddle on medium high heat.Roll the portions of dough into balls; flatten these balls with the palm of your hand.Take a portion of the dough, toss it on the flour and roll out into oval shape.As you roll them out, you can keep tossing the dough in dry flour while rolling; this will prevent it from getting sticky when rolling them out.After the first roll of the dough ball, sprinkle some garlic on the surface of the dough , lightly press it down and begin to roll it again.Once you got a nice oval shaped naan of medium thickness, transfer it on the hot griddle. Let it cook for 2-3 minutes.Then flip the Jowar Garlic Naan ÿand smear about 1/2 a teaspoon of ghee. Using a flat spatula do a light pressing and turning motion to cook to the naan.Flip to the other side and press and turn the naan in a similar way, smear ghee once again. You will notice brown spots around the naan and it will be slightly crisp. Remove from heat and place on a platter and serve hot.Continue the similar process with the remaining rolled portions and serve hot.Serve thisÿJowar Garlic Naan Recipeÿalong withÿTamatari Chole RecipeÿorÿAmritsari Fish Gravy RecipeÿandÿTomato Onion Tadka Raita RecipeÿandÿCarrot, Radish & Peanut Salad with Lemon Recipeÿfor a complete healthy, nutrition packed meal on a Sunday afternoon.
",https://www.archanaskitchen.com/jowar-garlic-naan-recipe
1446,Allahabadi Tehri Recipe (UP Style Vegetable Rice),"1-1/2 cup Basmati rice,1 cup Mixed vegetables - mix of potato,1 cup Curd (Dahi / Yogurt),1 Cinnamon Stick (Dalchini),1 Bay leaf (tej patta),3 Cardamom (Elaichi) Pods/Seeds,1 Black cardamom,4 Whole Black Peppercorns,4 Cloves (Laung),1/4 teaspoon Asafoetida (hing),1 Onion - thinly sliced,4 cloves Garlic - roughly crushed,1 inch Ginger - roughy crushed,2 Green Chillies - slit,1/2 teaspoon Turmeric powder (Haldi),1/2 teaspoon Red Chilli powder,1 tablespoon Coriander Powder (Dhania),1 teaspoon Cumin powder (Jeera),2 tablespoons Mustard oil,2 teaspoon Ghee,2 teaspoons Lemon juice,Salt - to taste",10,30,40,4,Uttar Pradesh,Dinner,Vegetarian,"To begin making the Allahabadi Tehri Recipe (UP Style Vegetable Rice), wash and soak the basmati rice for 10 minutes in water.Cut all the vegetables, namely potatoes, beans, cauliflower and carrots to similar size and keep aside.Heat mustard oil in a wide pan, and let it smoke.Add the asafoetida, whole garam masalas - cinnamon, bay leaf, green and black cardamoms, pepper corns and cloves and let the oil become fragrant.Now, add the sliced onions and saute until translucent.Now, roughly pound the ginger garlic using a mortar and pestle and add it to the pan, and saute until the raw smell goes away.Add the green chillies, turmeric, red chilli, cumin and coriander powder and saute for a minute.Add the cut vegetables and mix well till they turn a bit golden.Now, add the whisked yoghurt and saute until the mixute comes together.Add in the drained rice, 4 cups of water, season with salt and cover it with a lid to cook for 20 minutes untouched.Once its cooked, add in the ghee, lemon juice, gently mix everything together and switch off the flame.Serve the Allahabadi Tehri Recipe (UP Style Vegetable Rice) along withÿMirchi Ka SalanÿandÿBurani Raitaÿfor the weeknight dinner.",http://www.archanaskitchen.com/allahabadi-tehri-recipe-up-style-vegetable-rice
1447,Asian Style Honey Chicken With Vegetables Recipe,"300 grams Chicken breasts - cut into pieces,1 Green bell peppers - cut into squares,1 Carrot (Gajjar) - cut diagonally,1 cup Broccoli,4 cloves Garlic - chopped,1 tablespoon Soy sauce,1 tablespoon Honey,1 teaspoon Corn flour,Salt - to taste,Sunflower Oil",10,15,25,4,Asian,Lunch,High Protein Non Vegetarian,"To begin making the Asian Style Honey Chicken With Vegetables Recipe, wash and clean the chicken thoroughly, cut it into 1 inch cubes. Keep the cut vegetables ready.ÿHeat oil in a kadai on medium flame with oil. Add garlic and saut‚ till they turn brown. This will take 2-3 minutes.ÿNext in, add chopped carrots and saute for few minutes. Add in broccoli and green capsicum and saute till the vegetables are cooked yet crunchy. Sprinkle a bit of salt to cook it faster.At this stage add chicken pieces and saute till they are well cooked. Add soy sauce, honey and mix the cornflour into 1 cup of water and mix well. Set asideÿOnce the chicken is saut‚ed well, add mixed soy sauce mixture into the pan and mix well. Allow it to cook for 2-3 minutes till the sauce thickens. Bring the sauce to a roller boil and switch off the flame.ÿServe the Asian Style Honey Chicken With Vegetables Recipe, along withÿSpicy Vegetable Noodles RecipesÿandÿPear Poached In Spiced Red Wine Recipeÿfor a simple chinese meal.ÿ
",http://www.archanaskitchen.com/asian-style-honey-chicken-with-vegetables-recipe
1448,Kale Chane Ki Kadhi Recipe - Black Chickpea Kadhi,"1/2 cup Kala Chana (Brown Chickpeas) - soaked overnight,1 cup Curd (Dahi / Yogurt),4 tablespoons Gram flour (besan) - (besan),1/2 teaspoon Turmeric powder (Haldi),2 Green Chillies - slit,1 sprig Curry leaves,1 cup Water,Salt - to taste,1 Onion - chopped,1 tablespoon Sunflower Oil,3 Dry Red Chillies,1 teaspoon Cumin seeds (Jeera),1/2 teaspoon Mustard seeds,Asafoetida (hing) - a pinch,Salt - to taste",10,45,55,4,North Indian Recipes,Dinner,Vegetarian,"To begin making the Kale Chane Ki Kadhi Recipe, wash soaked chana under running water and transfer in a pressure cooker, and add 1-1/2 cups of water.Cover the lid and cook it for 4 to 5 whistles. Remove from heat and set aside till pressure cool off.Add yogurt, besan, turmeric powder, water, salt to a large mixing bowl and whisk well to make a batter without lumps.Transfer the yogurt mix in a saucepan and cook until it boils.Once it starts boiling, add boiled chana and, mix well. Let it cook on low heat for about 30 minutes till the yogurt turns creamy. Remove from heat.ÿFor tempering, heat oil in a tadka pan. Add asafoetida, dry red chilies, cumin seeds, mustard seeds and curry leaves and wait till they crackle. Now add chopped onions and saute till golden.ÿAdd the tempering to the kadhi, stir well and serve hot.ÿServeÿKale Chane Ki Kadhiÿalong withÿSteamed Rice,ÿAloo Bhindi Ki Sabzi,ÿPhulkaÿandÿKachumber Saladÿfor a weekday meal.",https://www.archanaskitchen.com/kale-chane-ki-kadhi-recipe
1449,Chicken Burrito Recipe,"300 grams Chicken - cut into stripes,1 Onion - sliced,4 cloves Garlic - chopped,1 inch Ginger - chopped,1 tablespoon Cumin powder (Jeera),1 teaspoon Black pepper powder,1/2 teaspoon Cinnamon Powder (Dalchini),2 teaspoon Paprika powder,1/2 teaspoon Turmeric powder (Haldi),Salt - to taste,1/2 cup Rajma (Large Kidney Beans) - soaked and boiled,1 Onion - chopped,1 Tomato - chopped,4 cloves Garlic - chopped,1 tablespoon Cumin powder (Jeera),1 tablespoon Red Chilli powder,1 teaspoon Black pepper powder,1 teaspoon Sugar,Salt - to taste,1/4 cup Cooked rice,1 tablespoon Dried Thyme Leaves,1 tablespoon Paprika powder,Salt - to taste,1/2 Green Bell Pepper (Capsicum),1/2 Red Bell pepper (Capsicum),1/2 Yellow Bell Pepper (Capsicum),1/2 Onion,1 tablespoon Cumin powder (Jeera),1 tablespoon Paprika powder,Salt - to taste,1 cup Tomato Salsa,1 cup Sour cream,1/4 cup Cheese - grated,2 Tortillas",10,40,50,4,Mexican,Lunch,Non Vegeterian,"To begin making the Chicken Burrito Recipe, we will first pressure cook the rajma beans in a pressure cooker in about 2 cups of water and salt for at least 30 minutes.To make the Fried BeansOnce done, allow the pressure to release naturally and keep it aside. Heat a skillet with oil, add garlic and saute till it softens.Add in onions and saute till they turn translucent and crispy, add in cooked rajma beans and tomatoes together so that the tomatoes remain fresh and juicy as it gets blended with the rajma.Sprinkle salt to taste and spice powders like cumin powder, red chilli powder and pepper powder and give it a mix. Check for seasoning, if required, dd some more and keep saut‚ing until the mixture comes together. Once done, allow it to cool for some time.ÿTo make the Sauteed ChickenÿWash the chicken breast thoroughly and cut them into thin stripes and set aside.ÿHeat a sauce pan with a tablespoon oil, add ginger and garlic and saute till they turn soft. Later add in the onions and saute till they turn translucent.Once the onions are lightly sauteed, add cooked jackfruit and give it a mix. Sprinkle the spice powders like paprika, pepper, turmeric, cumin, cinnamon and salt to taste. Give it a toss and check for seasonings again and set aside to cool.For the riceHeat a saut‚ing pan with oil, add rice and sprinkle with thyme, paprika powder and salt and give it a toss.For the FajitasHeat a grill pan with oil, addÿ onions, bell peppers allow it to cook for few minutes.ÿSprinkle with spice powders like cumin powder, paprika powder and salt. Toss it well and cook till the bell peppers are soft and crunchy. Once done set aside.ÿTo make the Mexican salsa and sour cream, click on the link below and follow the steps:How to Mexican salsaHow to make Sour creamTo AssembleWarm up the tortillas for 2 minutes on either side. Place the Tortillia on a foil to roll. Layer it with rice first.Then add in some Mexican tomato salsa, followed by Sauteed Chicken, fried beans, fajitas, sour cream and roll it tightly and cover it with a foil. Cut them half and serve.ServeÿChicken Burritoÿalong withÿLow Fat Vegetable Dip Recipe with Herbsÿat your house parties or serve it for your weekend dinners.",https://www.archanaskitchen.com/salsa-chicken-burrito-recipe
1450, Anar & Aloo Pakora Recipe,"5 ??? - ?????? ??? ?? ??,??? ????? - ????? ??? ??,1 ?? ??? ?????,1/2 ?? ????????,1 ???? ????? ??? ????? ?????,1 ???? ????? ????,??? - ????? ??????,1 ???? ????? ??? ????? ?????,1-1/2 ?? ????,2 ???? ????? ???",30,15,45,5,North Indian Recipes,Snack,Vegetarian,"To make pomegranate and potato pakora recipe, first mash the potatoes. Add pomegranate, cumin, green chili, salt, red chili powder, chaat masala powder and mix well. Make small balls of this mixture. Now in a separate bowl, add gram flour, salt, 2 tsp oil, a little water and make a thick batter. Now pour the potato pomegranate in the batter. Now heat the oil in a pan. Pour this balls in it and cook till it becomes golden and crisp. You can also make it in paniyaram pan. Add hair to each cavity. Cook until golden and crisp. Serve Pomegranate Potato Pakora Recipe with Coriander Mint Chutney and Masala Tea on rainy days.",http://www.archanaskitchen.com/anar-aloo-pakora-recipe-dry-pomegranate-potato-pakora-in-hindi
1452,Healthy Fresh Vegetable Salad Bowl with Sour Yogurt Dressing Recipe,"1 cup Cherry tomatoes - sliced,1 Onion - cut into rings,1 English Cucumber - sliced,1 Yellow Bell Pepper (Capsicum) - chopped,1 sprig Parsley leaves - chopped,1 cup Tofu - cubed,1 cup Hung Curd (Greek Yogurt),1 Lemon juice,1 pinch Salt,2 tablespoons Tzatziki",15,0,15,4,Mediterranean,Appetizer,Vegetarian,"We begin making the Fresh Vegetable Salad Bowl Recipe by keeping all the vegetables ready in a mixing bowl.In another bowl whisk in the yogurt, lemon juice, salt and tzatziki to make the dressing.Add this dressing to the vegetable salad and mix well. ÿÿÿÿServe the Healthy Fresh Vegetable Salad Bowl with Sour Yogurt Dressing Recipe as aÿhealthy breakfast",https://www.archanaskitchen.com/healthy-fresh-vegetable-salad-bowl-with-sour-yogurt-dressing-recipe
